,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Performance
85,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,-1
233,GP,M,16,U,GT3,T,4,4,health,other,reputation,father,1,2,0,0,1,1,1,1,1,1,0,4,2,4,2,4,1,2,1
298,GP,F,18,U,GT3,T,4,3,other,other,reputation,father,1,4,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0,1
277,GP,M,18,U,GT3,T,4,4,teacher,services,home,mother,2,1,0,0,0,1,1,1,1,1,0,3,2,4,1,4,3,22,0
358,MS,M,18,U,LE3,T,1,1,other,services,home,father,2,1,0,0,0,0,0,0,1,1,1,3,3,2,1,2,3,4,0
306,GP,M,20,U,GT3,A,3,2,services,other,course,other,1,1,0,0,0,0,1,1,1,0,0,5,5,3,1,1,5,0,1
2,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,0
177,GP,M,17,U,GT3,T,3,3,other,other,reputation,father,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,-1
43,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,0
362,MS,F,18,U,GT3,T,3,3,services,services,other,mother,2,2,0,0,1,0,0,1,1,1,1,4,3,2,1,3,3,0,0
165,GP,M,16,U,GT3,T,3,2,services,services,course,mother,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16,0
269,GP,F,18,R,GT3,T,2,1,other,other,reputation,mother,2,2,0,0,1,0,0,1,0,1,1,4,3,5,1,2,3,0,-1
81,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,0
388,MS,F,18,U,LE3,T,3,1,teacher,services,course,mother,1,2,0,0,1,1,0,1,1,1,0,4,3,4,1,1,1,0,-1
169,GP,F,16,U,GT3,T,4,4,health,health,reputation,mother,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,1
299,GP,M,18,U,LE3,T,4,4,teacher,teacher,home,mother,1,1,0,0,1,1,0,1,1,1,1,1,4,2,2,2,1,5,1
389,MS,F,18,U,GT3,T,1,1,other,other,course,mother,2,2,1,0,0,0,1,1,1,0,0,1,1,1,1,1,5,0,-1
253,GP,M,16,R,GT3,T,2,1,other,other,course,mother,2,1,0,0,0,0,1,0,1,0,0,3,3,2,1,3,3,0,-1
247,GP,M,22,U,GT3,T,3,1,services,services,other,mother,1,1,3,0,0,0,0,0,0,1,1,5,4,5,5,5,1,16,-1
225,GP,F,18,R,GT3,T,3,1,other,other,reputation,mother,1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16,-1
286,GP,F,18,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,2,2,5,1
377,MS,F,18,R,LE3,T,4,4,teacher,services,course,mother,1,2,0,0,0,1,1,1,1,1,0,5,4,3,3,4,2,4,0
211,GP,M,17,U,LE3,T,4,4,services,other,home,mother,1,2,0,0,1,1,0,1,1,1,1,5,3,5,4,5,3,13,1
191,GP,F,17,U,GT3,T,1,1,at_home,services,course,mother,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,0
266,GP,M,17,U,GT3,T,3,1,services,other,other,mother,1,2,0,0,0,1,1,1,1,1,1,5,4,4,3,4,5,2,0
111,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,0
271,GP,F,18,U,GT3,T,2,3,other,services,reputation,father,1,4,0,0,1,1,1,1,1,1,1,4,5,5,1,3,2,4,1
127,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,0
355,MS,F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,0,1,0,0,1,1,0,1,5,3,4,1,1,5,0,0
378,MS,F,18,U,GT3,T,3,3,other,other,home,mother,1,2,0,0,0,1,0,1,1,1,1,4,1,3,1,2,1,0,1
287,GP,F,17,U,GT3,T,1,1,services,teacher,reputation,mother,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,6,0
229,GP,F,17,U,GT3,A,2,1,other,other,course,mother,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10,0
55,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,0
54,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,1
16,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,1
367,MS,F,17,R,GT3,T,1,1,other,services,reputation,mother,3,1,1,0,1,1,0,1,1,1,1,5,2,1,1,2,1,0,-1
288,GP,M,18,U,GT3,T,2,1,services,services,reputation,mother,1,3,0,0,0,1,1,1,1,1,0,4,2,4,1,3,2,6,1
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,-1
282,GP,F,18,R,LE3,T,1,1,at_home,other,reputation,mother,2,4,0,0,1,1,1,1,1,0,0,5,2,2,1,1,3,1,0
214,GP,F,17,R,LE3,T,4,4,services,other,other,mother,1,1,0,0,1,1,0,1,1,0,0,5,2,1,1,2,3,12,0
257,GP,M,19,U,LE3,A,4,3,services,at_home,reputation,mother,1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,12,0
121,GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,1
193,GP,M,16,R,GT3,T,3,3,services,services,reputation,mother,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,0
309,GP,F,19,U,LE3,T,1,1,at_home,other,reputation,other,1,2,1,1,1,0,1,0,1,1,0,4,4,3,1,3,3,18,0
184,GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,0
13,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,0
132,GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,0
194,GP,M,16,U,GT3,T,2,3,other,other,home,father,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,1
108,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,1
135,GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,-1
115,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,1
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,1
53,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,0
210,GP,F,19,U,GT3,T,3,3,other,other,reputation,other,1,4,0,0,1,1,1,1,1,1,0,4,3,3,1,2,3,10,-1
201,GP,F,16,U,GT3,T,2,3,other,other,reputation,mother,1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6,0
8,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,1
137,GP,F,16,U,GT3,A,3,3,other,other,course,other,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,-1
341,GP,M,18,U,GT3,T,4,4,teacher,services,home,father,1,2,1,0,1,0,1,1,1,1,0,4,3,3,2,2,2,0,-1
122,GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,1
143,GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,1
387,MS,F,19,R,GT3,T,2,3,services,other,course,mother,1,3,1,0,0,0,1,0,1,1,0,5,4,2,1,2,5,0,-1
179,GP,M,17,U,GT3,T,4,3,other,other,course,mother,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,0
200,GP,F,16,U,GT3,T,4,3,health,other,home,mother,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2,1
352,MS,M,18,U,LE3,T,1,3,at_home,services,course,mother,1,1,1,0,0,0,0,1,0,1,1,4,3,3,2,3,3,7,-1
353,MS,M,19,R,GT3,T,1,1,other,other,home,other,3,1,1,0,1,0,0,1,1,1,0,4,4,4,3,3,5,4,-1
152,GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,0
203,GP,F,17,R,GT3,T,2,2,other,other,reputation,mother,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18,-1
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,0
125,GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,0
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,1
382,MS,M,17,U,GT3,T,2,3,other,services,home,father,2,2,0,0,0,0,1,1,1,1,0,4,4,3,1,1,3,2,0
342,GP,M,18,U,LE3,T,3,4,services,other,home,mother,1,2,0,0,0,0,1,1,1,1,1,4,3,3,1,3,5,11,1
86,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,-1
369,MS,F,18,R,GT3,T,4,4,other,teacher,other,father,3,2,0,0,1,1,0,0,1,1,1,3,2,2,4,2,5,10,0
300,GP,F,18,U,LE3,A,4,4,health,other,home,mother,1,2,0,0,1,0,0,1,1,1,1,4,2,4,1,1,4,14,0
238,GP,F,17,R,GT3,T,2,1,at_home,services,course,mother,3,2,0,0,0,0,1,1,1,0,0,2,1,1,1,1,3,2,0
206,GP,F,16,U,GT3,A,3,1,services,other,course,mother,1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5,-1
5,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,1
313,GP,F,19,U,LE3,T,3,2,services,other,reputation,other,2,2,1,0,1,1,0,0,1,1,1,4,2,2,1,2,1,22,0
123,GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,1
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,0
251,GP,M,16,U,GT3,T,3,3,at_home,other,reputation,other,3,2,0,1,1,0,0,0,1,1,0,5,3,3,1,3,2,6,0
244,GP,F,18,U,GT3,T,2,1,other,other,course,other,2,3,0,0,1,1,0,0,1,1,1,4,4,4,1,1,3,0,-1
116,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,1
106,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,-1
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,0
197,GP,M,16,R,LE3,T,3,3,teacher,other,home,father,3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,5,3,8,0
9,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,1
347,GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,0,1,1,0,1,1,1,1,5,4,5,2,3,5,0,0
263,GP,F,17,U,GT3,T,3,3,other,other,home,mother,1,3,0,0,0,0,1,0,1,0,0,3,2,3,1,1,4,4,0
17,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,0
50,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,1
51,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,1
148,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,-1
385,MS,F,18,R,GT3,T,2,2,at_home,other,other,mother,2,3,0,0,0,1,0,1,1,0,0,5,3,3,1,3,4,2,0
4,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,0
217,GP,M,18,U,LE3,T,3,3,services,health,home,father,1,2,1,0,1,1,0,1,1,1,0,3,2,4,2,4,4,13,-1
312,GP,M,19,U,GT3,T,1,2,other,services,course,other,1,2,1,0,0,0,0,0,1,1,0,4,5,2,2,2,4,3,0
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,0
292,GP,F,18,U,LE3,T,2,1,services,at_home,reputation,mother,1,2,1,0,0,0,0,1,1,1,1,5,4,3,1,1,5,12,1
285,GP,M,17,U,GT3,T,1,1,other,other,reputation,father,1,2,0,0,0,1,0,0,1,1,0,4,3,3,1,2,4,2,0
221,GP,F,17,U,GT3,T,1,1,at_home,other,reputation,mother,1,3,1,0,1,0,1,1,1,0,1,4,3,4,1,1,5,0,-1
381,MS,M,18,R,GT3,T,2,1,other,other,other,mother,2,1,0,0,0,0,1,0,1,1,1,4,4,3,1,3,5,5,-1
275,GP,F,17,U,LE3,T,2,2,services,other,course,mother,2,2,0,1,1,1,0,1,1,1,1,4,4,4,2,3,5,6,0
370,MS,F,19,U,LE3,T,3,2,services,services,home,other,2,2,2,0,0,0,1,1,1,0,1,3,2,2,1,1,3,4,0
356,MS,F,17,R,GT3,T,4,4,teacher,services,other,father,2,2,0,0,1,1,1,1,1,1,0,4,3,3,1,2,5,4,1
204,GP,F,16,R,GT3,T,2,2,services,services,reputation,mother,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6,0
199,GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,0
232,GP,M,17,U,GT3,T,4,4,teacher,teacher,reputation,mother,1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,14,0
173,GP,F,16,U,GT3,T,1,3,at_home,services,home,mother,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,-1
99,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,-1
354,MS,M,17,R,GT3,T,4,3,services,other,home,mother,2,2,0,0,1,1,1,0,1,1,1,4,5,5,1,3,2,4,0
82,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,-1
145,GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,0
384,MS,M,18,R,GT3,T,4,2,other,other,home,father,2,1,1,0,0,1,0,1,1,0,0,5,4,3,4,3,3,14,-1
289,GP,M,18,U,LE3,A,4,4,teacher,teacher,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,3,1,1,2,9,1
344,GP,F,18,U,GT3,T,2,3,at_home,other,course,mother,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,3,4,0
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,0
323,GP,F,17,U,GT3,T,3,1,services,services,course,father,1,3,0,0,1,0,0,0,1,1,0,3,4,3,2,3,5,1,1
166,GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,0
291,GP,F,17,U,GT3,T,4,3,health,services,reputation,mother,1,3,0,0,1,1,0,1,1,1,0,4,2,2,1,2,3,0,1
346,GP,M,18,R,GT3,T,4,3,teacher,services,course,mother,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,9,1
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,0
314,GP,F,19,U,GT3,T,1,1,at_home,health,home,other,1,3,2,0,0,0,0,0,1,1,1,4,1,2,1,1,3,14,1
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,1
337,GP,F,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,0,1,1,0,1,1,1,1,4,3,2,2,3,2,0,-1
394,MS,M,19,U,LE3,T,1,1,other,at_home,course,father,1,1,0,0,0,0,0,1,1,1,0,3,2,3,3,3,5,5,0
160,GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0,-1
91,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,1
87,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,1
171,GP,M,16,U,GT3,T,1,0,other,other,reputation,mother,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,1
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,1
45,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,-1
157,GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,0
142,GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,0
296,GP,F,19,U,GT3,T,4,4,health,other,reputation,other,2,2,0,0,1,1,1,1,1,1,0,2,3,4,2,3,2,0,-1
390,MS,M,20,U,LE3,A,2,2,services,services,course,other,1,2,2,0,1,1,0,1,1,0,0,5,5,4,4,5,4,11,0
220,GP,F,17,R,GT3,T,2,1,at_home,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2,-1
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,0
164,GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,-1
279,GP,M,18,U,LE3,T,4,3,teacher,services,course,mother,2,1,0,0,0,1,1,1,1,1,0,4,2,3,1,2,1,8,0
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,1
218,GP,F,17,U,GT3,T,2,3,at_home,other,home,father,2,1,0,0,1,1,0,1,1,0,0,3,3,3,1,4,3,3,-1
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,-1
374,MS,F,18,R,LE3,T,4,4,other,other,reputation,mother,2,3,0,0,0,0,0,1,1,1,0,5,4,4,1,1,1,0,1
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,1
319,GP,F,18,U,GT3,T,4,4,teacher,other,course,mother,1,2,0,0,1,1,0,1,1,1,0,4,4,4,3,3,5,2,0
103,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,-1
307,GP,M,19,U,GT3,T,4,4,teacher,services,reputation,other,2,1,1,0,1,1,0,1,1,1,1,4,3,4,1,1,4,38,-1
162,GP,M,16,U,LE3,T,1,2,other,other,course,mother,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0,-1
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,1
